6.11.2023. - 15:00 : crvena: 4, zelena: 5, plava: 4, ljubičasta: 4, braon: 4, žuta: 6, narandžasta: 3, crna: 5
6.11.2023. - 14:55 : crvena: 3, zelena: 5, plava: 5, ljubičasta: 5, braon: 6, žuta: 6, narandžasta: 2, crna: 3
6.11.2023. - 14:50 : crvena: 3, zelena: 3, plava: 6, ljubičasta: 5, braon: 4, žuta: 4, narandžasta: 5, crna: 5
6.11.2023. - 14:45 : crvena: 5, zelena: 6, plava: 3, ljubičasta: 6, braon: 3, žuta: 2, narandžasta: 4, crna: 6
6.11.2023. - 14:40 : crvena: 3, zelena: 4, plava: 4, ljubičasta: 4, braon: 6, žuta: 5, narandžasta: 5, crna: 4
6.11.2023. - 14:35 : crvena: 3, zelena: 4, plava: 5, ljubičasta: 6, braon: 5, žuta: 4, narandžasta: 5, crna: 3
6.11.2023. - 14:30 : crvena: 5, zelena: 4, plava: 3, ljubičasta: 5, braon: 5, žuta: 5, narandžasta: 4, crna: 4
6.11.2023. - 14:25 : crvena: 3, zelena: 4, plava: 5, ljubičasta: 5, braon: 5, žuta: 4, narandžasta: 4, crna: 5
6.11.2023. - 14:20 : crvena: 4, zelena: 2, plava: 6, ljubičasta: 5, braon: 6, žuta: 5, narandžasta: 3, crna: 4
6.11.2023. - 14:15 : crvena: 5, zelena: 4, plava: 3, ljubičasta: 5, braon: 4, žuta: 4, narandžasta: 5, crna: 5
6.11.2023. - 14:10 : crvena: 5, zelena: 4, plava: 4, ljubičasta: 5, braon: 4, žuta: 5, narandžasta: 4, crna: 4
6.11.2023. - 14:05 : crvena: 4, zelena: 4, plava: 6, ljubičasta: 6, braon: 3, žuta: 4, narandžasta: 3, crna: 5
6.11.2023. - 14:00 : crvena: 6, zelena: 4, plava: 3, ljubičasta: 4, braon: 5, žuta: 4, narandžasta: 5, crna: 4
6.11.2023. - 13:55 : crvena: 3, zelena: 6, plava: 5, ljubičasta: 5, braon: 4, žuta: 4, narandžasta: 3, crna: 5
6.11.2023. - 13:50 : crvena: 4, zelena: 6, plava: 4, ljubičasta: 3, braon: 4, žuta: 5, narandžasta: 5, crna: 4
6.11.2023. - 13:45 : crvena: 4, zelena: 6, plava: 2, ljubičasta: 6, braon: 5, žuta: 5, narandžasta: 4, crna: 3
6.11.2023. - 13:40 : crvena: 4, zelena: 5, plava: 5, ljubičasta: 5, braon: 4, žuta: 5, narandžasta: 4, crna: 3
6.11.2023. - 13:35 : crvena: 4, zelena: 6, plava: 2, ljubičasta: 6, braon: 5, žuta: 4, narandžasta: 3, crna: 5
6.11.2023. - 13:30 : crvena: 4, zelena: 5, plava: 4, ljubičasta: 5, braon: 5, žuta: 5, narandžasta: 5, crna: 2
6.11.2023. - 13:25 : crvena: 3, zelena: 6, plava: 4, ljubičasta: 4, braon: 4, žuta: 4, narandžasta: 5, crna: 5
6.11.2023. - 13:20 : crvena: 6, zelena: 3, plava: 6, ljubičasta: 3, braon: 2, žuta: 5, narandžasta: 4, crna: 6
6.11.2023. - 13:15 : crvena: 4, zelena: 5, plava: 5, ljubičasta: 4, braon: 6, žuta: 6, narandžasta: 3, crna: 2
6.11.2023. - 13:10 : crvena: 3, zelena: 6, plava: 3, ljubičasta: 4, braon: 5, žuta: 5, narandžasta: 5, crna: 4
6.11.2023. - 13:05 : crvena: 4, zelena: 4, plava: 4, ljubičasta: 6, braon: 4, žuta: 4, narandžasta: 5, crna: 4
6.11.2023. - 13:00 : crvena: 4, zelena: 5, plava: 5, ljubičasta: 5, braon: 4, žuta: 5, narandžasta: 4, crna: 3
6.11.2023. - 12:55 : crvena: 5, zelena: 5, plava: 3, ljubičasta: 5, braon: 5, žuta: 3, narandžasta: 4, crna: 5
6.11.2023. - 12:50 : crvena: 5, zelena: 4, plava: 2, ljubičasta: 5, braon: 4, žuta: 5, narandžasta: 5, crna: 5
6.11.2023. - 12:45 : crvena: 4, zelena: 5, plava: 5, ljubičasta: 5, braon: 6, žuta: 3, narandžasta: 2, crna: 5
6.11.2023. - 12:40 : crvena: 5, zelena: 3, plava: 5, ljubičasta: 5, braon: 5, žuta: 4, narandžasta: 4, crna: 4
6.11.2023. - 12:35 : crvena: 6, zelena: 6, plava: 3, ljubičasta: 4, braon: 4, žuta: 4, narandžasta: 4, crna: 4
