2.10.2023. - 15:00 :,6,36,31,4,3,35,48,14,21,19,20,25,40,33,42,27,13,38,16,46,7,28,34,5,41,26,18,15,2,23,32,10,44,9,24
2.10.2023. - 15:05 :,9,18,25,26,48,24,31,3,6,12,10,2,42,45,19,1,21,43,8,4,33,46,36,41,22,7,28,38,16,27,13,32,23,37,34
2.10.2023. - 15:10 :,33,23,1,9,22,36,30,39,35,20,12,43,15,14,8,27,11,45,7,42,47,28,29,13,46,21,48,24,34,10,17,25,37,3,38
9.10.2023. - 15:00 :,25,27,32,39,24,16,13,30,33,35,44,19,6,28,40,36,20,14,43,17,45,48,12,11,3,38,29,21,22,9,10,37,8,34,18
9.10.2023. - 15:05 :,14,29,32,35,31,28,40,23,1,10,37,22,7,45,9,38,36,13,47,33,25,24,15,20,39,6,46,41,11,4,3,17,42,2,18
16.10.2023. - 15:00 :,46,20,9,21,3,30,7,15,4,23,11,13,33,22,25,17,38,2,47,45,37,27,40,35,16,29,14,42,12,39,8,36,5,19,1
16.10.2023. - 15:05 :,40,7,19,32,37,25,39,21,47,34,5,33,41,29,12,17,22,23,14,42,9,36,8,18,44,4,26,43,38,48,10,28,24,11,30
16.10.2023. - 15:10 :,8,19,14,7,27,6,35,23,18,38,37,15,10,26,4,20,22,11,44,13,24,9,21,42,47,1,17,41,2,36,39,43,40,34,16
23.10.2023. - 15:00 :,37,23,45,1,27,20,17,47,44,28,42,5,6,22,41,21,33,11,35,12,36,29,46,16,19,4,39,8,25,32,38,31,14,24,48
23.10.2023. - 15:05 :,8,25,9,47,16,27,28,18,10,34,42,14,39,6,24,15,2,22,36,29,46,33,4,7,17,43,30,44,1,26,13,21,11,12,5
23.10.2023. - 15:10 :,15,17,7,20,16,31,41,35,30,42,26,9,13,27,6,21,33,40,37,23,11,8,32,1,5,4,12,22,47,28,36,34,29,38,3
30.10.2023. - 15:00 :,27,23,33,13,16,37,14,10,18,31,20,24,48,22,26,41,19,32,38,8,46,42,28,29,35,15,25,5,6,3,1,39,47,21,4
30.10.2023. - 15:05 :,15,11,33,3,1,48,6,45,28,16,40,34,46,8,20,36,22,27,2,17,41,30,23,18,25,7,4,38,37,43,39,47,35,9,13
30.10.2023. - 15:10 :,1,36,17,32,11,46,13,6,4,42,15,28,33,14,35,10,24,22,5,12,45,48,39,7,31,9,2,37,47,43,23,8,16,20,21
6.11.2023. - 15:00 :,39,10,13,1,11,28,6,12,46,8,32,20,34,30,29,17,21,36,47,41,23,3,26,14,43,9,48,22,42,24,18,19,5,38,40
