1:[39, 1, 43, 45, 24, 47, 30, 26, 9, 46, 5, 17, 25, 42, 33]
2:[47, 42, 17, 19, 3, 35, 39, 22, 4, 18, 40, 11, 14, 41, 44]
3:[24, 3, 17, 47, 7, 18, 21, 13, 10, 48, 40, 30, 43, 1, 37]
4:[7, 22, 19, 1, 26, 14, 33, 8, 34, 3, 43, 46, 31, 47, 13]
5:[4, 38, 10, 46, 17, 45, 16, 5, 33, 21, 27, 20, 12, 14, 9]
6:[31, 8, 18, 20, 13, 7, 32, 37, 15, 19, 23, 2, 35, 48, 12]
7:[12, 6, 33, 42, 27, 37, 26, 22, 25, 48, 18, 35, 17, 46, 47]
8:[7, 48, 46, 27, 22, 34, 24, 30, 31, 13, 20, 3, 1, 6, 37]
9:[17, 23, 24, 15, 22, 20, 32, 2, 10, 47, 46, 48, 6, 36, 44]
10:[14, 1, 30, 12, 4, 23, 45, 17, 3, 39, 41, 37, 29, 9, 26]
11:[3, 37, 31, 29, 30, 24, 13, 17, 9, 45, 39, 26, 36, 7, 23]
12:[31, 26, 35, 12, 39, 19, 8, 33, 25, 44, 21, 22, 1, 46, 20]
13:[32, 2, 36, 22, 5, 23, 24, 40, 31, 28, 21, 9, 12, 38, 10]
14:[13, 9, 2, 8, 28, 16, 42, 14, 33, 36, 29, 31, 21, 35, 18]
15:[12, 17, 28, 38, 22, 10, 8, 46, 1, 24, 47, 14, 42, 43, 35]
16:[46, 37, 21, 10, 13, 24, 47, 5, 31, 35, 22, 40, 6, 34, 8]
17:[19, 17, 5, 13, 10, 27, 42, 46, 39, 22, 29, 24, 14, 38, 6]
18:[45, 13, 16, 1, 3, 18, 41, 15, 37, 35, 47, 5, 33, 19, 25]
19:[23, 13, 32, 7, 8, 11, 26, 30, 48, 44, 2, 5, 27, 15, 20]
20:[2, 13, 31, 25, 38, 47, 4, 1, 8, 15, 28, 5, 26, 30, 32]
21:[1, 44, 18, 33, 32, 28, 25, 26, 29, 10, 37, 47, 24, 12, 38]
22:[16, 41, 40, 5, 20, 15, 45, 17, 33, 26, 39, 12, 42, 43, 2]
23:[20, 44, 9, 8, 15, 38, 21, 17, 39, 36, 45, 7, 27, 22, 4]
24:[8, 1, 26, 21, 13, 37, 31, 36, 28, 23, 41, 14, 47, 24, 43]
25:[48, 3, 18, 46, 36, 19, 9, 6, 13, 4, 11, 17, 22, 12, 35]
26:[3, 32, 19, 11, 31, 21, 43, 25, 27, 47, 22, 8, 20, 7, 23]
27:[8, 19, 31, 18, 23, 15, 21, 6, 36, 48, 24, 38, 4, 12, 35]
28:[1, 39, 15, 7, 32, 43, 47, 45, 3, 19, 9, 23, 34, 48, 36]
29:[42, 39, 10, 40, 18, 9, 5, 25, 38, 35, 31, 22, 4, 6, 8]
30:[40, 43, 18, 23, 35, 17, 38, 7, 24, 5, 46, 14, 31, 13, 33]
31:[11, 6, 29, 7, 28, 42, 36, 9, 8, 4, 30, 5, 27, 24, 33]
32:[48, 11, 9, 44, 46, 6, 40, 41, 26, 42, 37, 14, 5, 15, 2]
33:[17, 9, 27, 19, 29, 10, 31, 15, 13, 25, 41, 21, 11, 4, 32]
34:[32, 11, 42, 19, 20, 26, 8, 18, 12, 36, 47, 10, 35, 45, 27]
35:[23, 37, 6, 32, 29, 7, 47, 33, 12, 13, 11, 38, 40, 25, 8]
36:[40, 32, 9, 35, 8, 36, 37, 25, 28, 33, 39, 38, 23, 20, 24]
37:[26, 17, 20, 12, 11, 38, 8, 2, 47, 23, 46, 14, 19, 42, 3]
38:[11, 15, 38, 28, 47, 24, 35, 48, 10, 4, 42, 37, 29, 46, 36]
39:[36, 48, 29, 46, 21, 40, 7, 37, 23, 33, 39, 5, 38, 35, 12]
40:[45, 5, 21, 24, 17, 33, 29, 15, 27, 36, 35, 38, 3, 4, 22]
41:[19, 35, 10, 22, 3, 7, 46, 25, 8, 42, 13, 30, 12, 48, 2]
42:[6, 48, 39, 14, 28, 46, 11, 3, 41, 5, 10, 45, 36, 47, 9]
43:[41, 30, 6, 43, 34, 46, 42, 20, 24, 48, 21, 35, 18, 15, 28]
44:[11, 1, 14, 36, 43, 40, 16, 13, 4, 45, 8, 38, 37, 29, 30]
45:[24, 6, 17, 38, 21, 31, 35, 44, 30, 40, 1, 26, 20, 15, 22]
46:[22, 35, 6, 27, 4, 24, 5, 47, 29, 31, 10, 18, 16, 14, 23]
